fullVisitorId,visitId,channelGrouping,totalTransactionRevenue
7178271411553999936,1501604340,Direct,354.14
00122544416887869,1501646806,Direct,87.54
2036087031721452206,1501654620,Direct,153
8945917216741229076,1501606687,Direct,1002.78
3488180527318382945,1501613798,Direct,5.99
2645325645585564739,1501605244,Direct,51.22
9641690225668962441,1501620312,Direct,182.99
8586424365462181280,1501609268,Direct,140.07
6800566940116915885,1501599317,Direct,3.99
9135964269759937258,1501647149,Direct,6.99
9991458465328295712,1501623886,Direct,991.73
9641690225668962441,1501596962,Direct,31.09
6202245490285633206,1501610993,Direct,553
3342206378434695941,1501617564,Direct,300
4293484339755189100,1501621191,Display,37.29
5408509515083537446,1501592752,Referral,14.19
8126265144952943395,1501625561,Referral,48.67
8437442073154861805,1501637565,Referral,158
4218926843760320230,1501608387,Referral,46
2893818766386244644,1501643660,Referral,276
46427759152409137,1501610507,Referral,247
1623443938929969178,1501653087,Referral,156.6
0123988537742236808,1501618999,Referral,153
6434429149954155169,1501614315,Referral,34.76
4322141555730120332,1501585011,Referral,153
8812275451738413277,1501651868,Referral,37.79
9947542428111966715,1501608078,Referral,2934.61
056516105397733466,1501646467,Referral,152.69
2680946318269514024,1501637368,Referral,153
5848111452792700087,1501620486,Referral,48.54
8116406160293156709,1501602101,Referral,315.38
3212477070859950899,1501641559,Referral,36.58
4848336598300636975,1501650008,Referral,359
329539225404111896,1501608543,Referral,27
3880072603463807275,1501638888,Referral,281
8627569842794933996,1501612980,Referral,57.77
6259202518292934794,1501596661,Referral,40.31
5388358994416141920,1501619179,Referral,121
6044320034785394178,1501595423,Referral,122
7519145914292413159,1501628356,Referral,401.96
1607161473592728760,1501605592,Referral,270
6845323707792890252,1501616724,Referral,125
1771797970955200965,1501624252,Referral,176.39
0590885469208389177,1501650728,Referral,244
7506305472297329144,1501633124,Referral,127
9852625334775123501,1501623575,Referral,125.96
2758176730469480454,1501604469,Referral,366
2543259332317051706,1501622765,Referral,151
4273254514147743879,1501648522,Referral,303
0016545533464626305,1501646132,Referral,128
0033549586829168603,1501623509,Referral,38.5
1660075292610515359,1501649817,Referral,747
4535935528005726779,1501626402,Referral,151
977708631806601348,1501608216,Referral,207
5615228197263437245,1501596275,Referral,150
5936878543289156144,1501614663,Referral,161.14
1752337267458870918,1501619978,Referral,121
1099669200376994515,1501649373,Referral,231
4036233621975669453,1501635362,Referral,39.98
5488776994067349907,1501620365,Referral,87
748200454615490914,1501598702,Referral,53
0094279759216436763,1501645531,Referral,243
2127038984861343686,1501599562,Referral,478
4897021424322518417,1501617938,Referral,62.31
0572263157266627282,1501605515,Referral,128
1552746593250424383,1501600612,Referral,72.19
5146569231710175204,1501646923,Referral,244
7823608009373233829,1501631449,Referral,235.53
0157153695034207344,1501605135,Referral,31.79
8074064886439057273,1501625413,Referral,36.4
3746574842050954454,1501620404,Referral,158
0216141040361335595,1501597062,Referral,53.79
2279916312183001913,1501611293,Referral,241
6061646036669300241,1501607749,Referral,247.36
643240525482984138,1501628321,Referral,155
407317080599159176,1501605136,Referral,65.37
0761405766704396792,1501620379,Referral,128
6439711993201552616,1501609990,Referral,123
9893029382723375917,1501656817,Referral,200
7641336596656011358,1501599524,Referral,45.64
5000602548527091287,1501612542,Referral,28.43
3591556845963582126,1501609139,Referral,370.2
9715490064692381559,1501606848,Referral,163
3066375744627185436,1501608622,Referral,25.4
879096634053234478,1501595478,Referral,12.96
1807585192817288661,1501644989,Referral,127
3923283939878060470,1501621603,Referral,245
0950137312091047612,1501653933,Referral,362
4459051096138771020,1501639940,Referral,270
0385691501459785175,1501625621,Paid Search,87.48
2053321357504839510,1501651007,Organic Search,16.29
1441989801485283321,1501620679,Organic Search,15.29
98654091364917890,1501641303,Organic Search,18.29
605616775832270171,1501615059,Organic Search,56
385231150756085903,1501603468,Organic Search,48.85
4520185947201930710,1501640730,Organic Search,177.9
4520185947201930710,1501627131,Organic Search,409.21