average,station_name,date,today,partition_age,month
0.32,WAKAYAMA,8/18/2022,8/21/2022,3,8
0.12,WAKAYAMA,8/16/2022,8/21/2022,5,8
0.14,WAKAYAMA,8/12/2022,8/21/2022,9,8
0.28,WAKAYAMA,8/6/2022,8/21/2022,15,8
0.12,WAKAYAMA,8/5/2022,8/21/2022,16,8
0.08,WAKAYAMA,7/30/2022,8/21/2022,22,7
0.59,WAKAYAMA,7/19/2022,8/21/2022,33,7
0.02,WAKAYAMA,7/17/2022,8/21/2022,35,7
0.08,WAKAYAMA,7/16/2022,8/21/2022,36,7
0.04,WAKAYAMA,7/15/2022,8/21/2022,37,7
0.59,WAKAYAMA,7/12/2022,8/21/2022,40,7
0.08,WAKAYAMA,7/10/2022,8/21/2022,42,7
1.57,WAKAYAMA,7/5/2022,8/21/2022,47,7
0.67,WAKAYAMA,7/4/2022,8/21/2022,48,7
0.02,WAKAYAMA,7/3/2022,8/21/2022,49,7
0.04,WAKAYAMA,6/25/2022,8/21/2022,57,6
0.08,WAKAYAMA,6/22/2022,8/21/2022,60,6